strava_id,Model,cv_rmse,cv_mape,x_tr_tr_len,x_holdout_len,features
4548902,random_forest_regressor,79.32960215362084,0.15624039702694034,792,198,"['distance', 'vertical', 'grade']"
4548902,xgboost,138.49009628295897,0.1991424262523651,792,198,"['distance', 'vertical', 'grade']"
3611828,linear_regression,131.10306991008306,0.48766017738523165,204,51,"['distance', 'vertical', 'grade']"
3611828,random_forest_regressor,108.93980430161488,0.24046802866627653,204,51,"['distance', 'vertical', 'grade']"
3611828,xgboost,112.7425765991211,0.24932848513126374,204,51,"['distance', 'vertical', 'grade']"
3194779,linear_regression,87.71469980716711,0.3067309821545322,691,172,"['distance', 'vertical', 'grade']"
3194779,random_forest_regressor,87.69686459743704,0.1405414680483437,691,172,"['distance', 'vertical', 'grade']"
3194779,xgboost,89.41072616577148,0.15303403437137603,691,172,"['distance', 'vertical', 'grade']"
3574069,linear_regression,93.49469174691501,0.34681275730620487,444,111,"['distance', 'vertical', 'grade']"
3574069,random_forest_regressor,119.2509246412636,0.17015202810621835,444,111,"['distance', 'vertical', 'grade']"
3574069,xgboost,127.48867492675781,0.1934176951646805,444,111,"['distance', 'vertical', 'grade']"
8409483,linear_regression,27.196896090554567,0.2012490690260415,268,66,"['distance', 'vertical', 'grade']"
8409483,random_forest_regressor,29.511889538455183,0.1293113998126629,268,66,"['distance', 'vertical', 'grade']"
8409483,xgboost,27.412960052490234,0.12980154156684875,268,66,"['distance', 'vertical', 'grade']"
7968141,linear_regression,114.04685281198847,0.3827032147451712,839,209,"['distance', 'vertical', 'grade']"
7968141,random_forest_regressor,92.31338950709464,0.16470965974832316,839,209,"['distance', 'vertical', 'grade']"
7968141,xgboost,105.73487014770508,0.20562978088855743,839,209,"['distance', 'vertical', 'grade']"
2305481,linear_regression,34.43783504725273,0.15854596327593995,218,54,"['distance', 'vertical', 'grade']"
2305481,random_forest_regressor,253.32697467859597,0.13418379885764775,218,54,"['distance', 'vertical', 'grade']"
2305481,xgboost,203.4010482788086,0.1261424571275711,218,54,"['distance', 'vertical', 'grade']"
584854,linear_regression,76.49482343453106,0.3558522352367216,440,110,"['distance', 'vertical', 'grade']"
