strava_id,activity_id,distance,elevation,avg_power,time,tour_year,stage,ride_day,race_start_day,segments,year,profile_score,startlist_quality,time_delta,elevation_ratio,time_trial,no_sessions,mean_train_dist,mean_train_avg_speed,mean_train_elevation,mean_train_EVD
1331421,7136197402,202.54,4518.0,,22445,giro-2022,7,2022-05-13,2022-05-06,[],2022,246.0,817,7,0.9570938918005144,0,53.0,105.17264150943396,33.409505922796065,803.5471698113207,0.6836777459044657
1508855,7211635778,184.3,3206.0,261.0,18921,giro-2022,19,2022-05-27,2022-05-06,[],2022,262.0,817,21,0.9456390289944843,0,10.0,101.387,32.95266922438174,1347.7,1.1454352750220191
3834960,7484963733,204.35,2298.0,,17168,tdf-2022,15,2022-07-17,2022-07-01,[],2022,64.0,1551,16,0.9183367634423643,0,32.0,117.08125,32.79135442648698,1892.625,1.4818745934657902
3834960,9463587669,185.76,4246.0,,19602,tdf-2023,15,2023-07-16,2023-07-01,[],2023,335.0,1584,15,0.958084372799971,0,31.0,133.5783870967742,31.450626439612005,2107.4193548387098,1.5926801625437914
2754904,7419635064,177.95,1875.0,268.0,15390,tdf-2022,4,2022-07-05,2022-07-01,[],2022,63.0,1551,4,0.9133198567914466,0,29.0,154.5951724137931,37.79477489919933,2363.103448275862,1.4604993749785242
1821678,9431249133,174.71,2970.0,,14904,tdf-2023,10,2023-07-11,2023-07-01,[],2023,118.0,1584,10,0.9444432077997653,0,82.0,109.48878048780487,32.61717965514186,1974.121951219512,1.7501099832244125
36356974,4078008601,173.64,2116.0,,14601,tdf-2020,19,2020-09-18,2020-08-29,[],2020,77.0,1662,20,0.9241627504760574,0,17.0,117.35411764705883,30.641521992092347,1344.2941176470588,1.235912879105786
7650668,7180514072,144.65,3140.0,,15329,giro-2022,14,2022-05-21,2022-05-06,[],2022,247.0,817,15,0.9559618224163914,0,47.0,84.26723404255318,30.730683638263493,889.8936170212766,0.9910083060111715
2824377,4001500052,187.7,1469.0,242.0,16594,tdf-2020,5,2020-09-02,2020-08-29,[],2020,31.0,1662,4,0.8867024808353956,0,80.0,100.9485,28.873152024641747,1434.05,1.3130215571837502
1126469,5666183801,30.68,294.0,194.0,3486,tdf-2021,20,2021-07-17,2021-06-26,[],2021,8.0,1646,21,0.9055069606997659,1,55.0,104.25127272727272,32.389499436924645,1457.7272727272727,1.370292794267787
1847503,5334336527,202.11,995.0,179.0,17798,giro-2021,13,2021-05-21,2021-05-08,[],2021,0.0,885,13,0.8311683972233127,0,62.0,85.71387096774194,32.53870728294565,1565.1935483870968,1.703661628288775
13125039,9145335355,181.14,5316.0,,19882,giro-2023,19,2023-05-26,2023-05-08,[],2023,478.0,835,18,0.9670483196716838,0,59.0,98.67254237288137,33.15956052772999,1736.4745762711864,1.4655626646863282
