strava_id,activity_id,distance,elevation,avg_power,time,tour_year,stage,ride_day,race_start_day,segments,year,profile_score,startlist_quality,time_delta,elevation_ratio,time_trial,no_sessions,mean_train_dist,mean_train_avg_speed,mean_train_elevation,mean_train_EVD
722861,7462933785,159.66,4028.0,308.0,16779,tdf-2022,11,2022-07-13,2022-07-01,[],2022,400.0,1551,12,0.02460779043057524,0,52.0,109.77134615384615,33.485413977596,1657.5961538461538,1.4186735227934153
722861,7468785386,168.65,4855.0,251.0,19776,tdf-2022,12,2022-07-14,2022-07-01,[],2022,389.0,1551,13,0.027981902538831736,0,52.0,109.77134615384615,33.485413977596,1657.5961538461538,1.4186735227934153
6860614,7403514765,207.18,1303.0,261.0,17589,tdf-2022,2,2022-07-02,2022-07-01,[],2022,11.0,1551,1,0.006249910064609584,0,59.0,114.75966101694915,33.255961810231426,1127.9661016949153,0.8944241632725957
6860614,7409387905,185.61,1405.0,250.0,15645,tdf-2022,3,2022-07-03,2022-07-01,[],2022,16.0,1551,2,0.007512766355639922,0,59.0,114.75966101694915,33.255961810231426,1127.9661016949153,0.8944241632725957
6860614,7419698327,178.0,1866.0,288.0,15333,tdf-2022,4,2022-07-05,2022-07-01,[],2022,63.0,1551,4,0.010374389823535298,0,59.0,114.75966101694915,33.255961810231426,1127.9661016949153,0.8944241632725957
6860614,7425299067,169.16,574.0,291.0,13620,tdf-2022,5,2022-07-06,2022-07-01,[],2022,1.0,1551,5,0.0033817620512095396,0,59.0,114.75966101694915,33.255961810231426,1127.9661016949153,0.8944241632725957
6860614,7430440748,224.43,2699.0,313.0,17266,tdf-2022,6,2022-07-07,2022-07-01,[],2022,85.0,1551,6,0.011883114881851283,0,59.0,114.75966101694915,33.255961810231426,1127.9661016949153,0.8944241632725957
6860614,7435859457,179.41,2536.0,303.0,15323,tdf-2022,7,2022-07-08,2022-07-01,[],2022,192.0,1551,7,0.013938201444384598,0,59.0,114.75966101694915,33.255961810231426,1127.9661016949153,0.8944241632725957
6860614,7441162258,193.2,2498.0,301.0,16305,tdf-2022,8,2022-07-09,2022-07-01,[],2022,87.0,1551,8,0.012764565810585698,0,59.0,114.75966101694915,33.255961810231426,1127.9661016949153,0.8944241632725957
6860614,7447085831,199.48,3649.0,321.0,19114,tdf-2022,9,2022-07-10,2022-07-01,[],2022,223.0,1551,9,0.017963953940599322,0,59.0,114.75966101694915,33.255961810231426,1127.9661016949153,0.8944241632725957
6860614,7457278529,152.72,2342.0,303.0,13878,tdf-2022,10,2022-07-12,2022-07-01,[],2022,143.0,1551,11,0.015103635964968852,0,59.0,114.75966101694915,33.255961810231426,1127.9661016949153,0.8944241632725957
