strava_id,activity_id,distance,elevation,avg_power,time,tour_year,stage,ride_day,race_start_day,segments,year,profile_score,startlist_quality,time_delta,elevation_ratio,time_trial,no_sessions,mean_train_dist,mean_train_avg_speed,mean_train_elevation,mean_train_EVD
3125765,11331051407,138.19,1889,,11871,giro-2024,1,2024-05-04,2024-05-04,[],2024,145.0,721,0,0.013485247610277059,0,31.0,128.23741935483872,34.49734867205379,2375.8064516129034,1.8716248095959875
3125765,11339509557,164.9,2326,,14742,giro-2024,2,2024-05-05,2024-05-04,[],2024,222.0,721,1,0.013909320321002715,0,31.0,128.23741935483872,34.49734867205379,2375.8064516129034,1.8716248095959875
3125765,11346054409,172.1,888,,14747,giro-2024,3,2024-05-06,2024-05-04,[],2024,35.0,721,2,0.005133304044211159,0,31.0,128.23741935483872,34.49734867205379,2375.8064516129034,1.8716248095959875
3125765,11353474586,191.24,1702,,15787,giro-2024,4,2024-05-07,2024-05-04,[],2024,44.0,721,3,0.008821303811508122,0,31.0,128.23741935483872,34.49734867205379,2375.8064516129034,1.8716248095959875
3125765,11361673985,184.64,2056,,15719,giro-2024,5,2024-05-08,2024-05-04,[],2024,59.0,721,4,0.011012555169901872,0,31.0,128.23741935483872,34.49734867205379,2375.8064516129034,1.8716248095959875
3125765,11370017232,183.09,2157,,15066,giro-2024,6,2024-05-09,2024-05-04,[],2024,102.0,721,5,0.011643913261753227,0,31.0,128.23741935483872,34.49734867205379,2375.8064516129034,1.8716248095959875
3125765,11386309912,156.6,3730,,15430,giro-2024,8,2024-05-11,2024-05-04,[],2024,265.0,721,7,0.02326451693382399,0,31.0,128.23741935483872,34.49734867205379,2375.8064516129034,1.8716248095959875
3125765,11394415284,220.71,1335,,18146,giro-2024,9,2024-05-12,2024-05-04,[],2024,77.0,721,8,0.006012294805107073,0,31.0,128.23741935483872,34.49734867205379,2375.8064516129034,1.8716248095959875
3125765,11409274650,140.91,2964,,13652,giro-2024,10,2024-05-14,2024-05-04,[],2024,267.0,721,10,0.020601359522915884,0,31.0,128.23741935483872,34.49734867205379,2375.8064516129034,1.8716248095959875
3125765,11416966421,210.25,1573,,16519,giro-2024,11,2024-05-15,2024-05-04,[],2024,36.0,721,11,0.007426011339656222,0,31.0,128.23741935483872,34.49734867205379,2375.8064516129034,1.8716248095959875
3125765,11424643245,191.85,2235,,15297,giro-2024,12,2024-05-16,2024-05-04,[],2024,95.0,721,12,0.011515573073653296,0,31.0,128.23741935483872,34.49734867205379,2375.8064516129034,1.8716248095959875
3125765,11432189670,179.61,440,,14417,giro-2024,13,2024-05-17,2024-05-04,[],2024,0.0,721,13,0.0024437656206609277,0,31.0,128.23741935483872,34.49734867205379,2375.8064516129034,1.8716248095959875
3125765,11448904368,226.36,5620,,23550,giro-2024,15,2024-05-19,2024-05-04,[],2024,397.0,721,15,0.024226226398827485,0,31.0,128.23741935483872,34.49734867205379,2375.8064516129034,1.8716248095959875
3125765,11463938681,118.13,2125,,10358,giro-2024,16,2024-05-21,2024-05-04,[],2024,234.0,721,17,0.017670782919629122,0,31.0,128.23741935483872,34.49734867205379,2375.8064516129034,1.8716248095959875
3125765,11471646374,158.49,4040,,16497,giro-2024,17,2024-05-22,2024-05-04,[],2024,341.0,721,18,0.024856949486248694,0,31.0,128.23741935483872,34.49734867205379,2375.8064516129034,1.8716248095959875
3125765,11479327614,178.62,814,,13683,giro-2024,18,2024-05-23,2024-05-04,[],2024,18.0,721,19,0.004536486953420199,0,31.0,128.23741935483872,34.49734867205379,2375.8064516129034,1.8716248095959875
3125765,11487194909,157.05,2995,,15073,giro-2024,19,2024-05-24,2024-05-04,[],2024,258.0,721,20,0.01871348683182855,0,31.0,128.23741935483872,34.49734867205379,2375.8064516129034,1.8716248095959875
3125765,11495017621,187.75,4205,,19249,giro-2024,20,2024-05-25,2024-05-04,[],2024,316.0,721,21,0.021906175926649476,0,31.0,128.23741935483872,34.49734867205379,2375.8064516129034,1.8716248095959875
3125765,11503864646,126.84,713,,10921,giro-2024,21,2024-05-26,2024-05-04,[],2024,13.0,721,22,0.005589833245788025,0,31.0,128.23741935483872,34.49734867205379,2375.8064516129034,1.8716248095959875
9162783,11331063751,138.74,1889,294.0,11898,giro-2024,1,2024-05-04,2024-05-04,[],2024,145.0,721,0,0.013432506808695219,0,50.0,113.52959999999999,33.154130054718884,1560.28,1.243332932923546
9162783,11339591709,164.32,2332,280.0,15313,giro-2024,2,2024-05-05,2024-05-04,[],2024,222.0,721,1,0.013993231404363584,0,50.0,113.52959999999999,33.154130054718884,1560.28,1.243332932923546
9162783,11346367740,172.12,710,258.0,14961,giro-2024,3,2024-05-06,2024-05-04,[],2024,35.0,721,2,0.004108083087426951,0,50.0,113.52959999999999,33.154130054718884,1560.28,1.243332932923546
9162783,11353421261,190.53,1698,254.0,15857,giro-2024,4,2024-05-07,2024-05-04,[],2024,44.0,721,3,0.008833260503152507,0,50.0,113.52959999999999,33.154130054718884,1560.28,1.243332932923546
9162783,11362324737,185.4,1994,,16145,giro-2024,5,2024-05-08,2024-05-04,[],2024,59.0,721,4,0.01064068219900317,0,50.0,113.52959999999999,33.154130054718884,1560.28,1.243332932923546
9162783,11370054645,183.7,2157,294.0,15164,giro-2024,6,2024-05-09,2024-05-04,[],2024,102.0,721,5,0.011605696852956843,0,50.0,113.52959999999999,33.154130054718884,1560.28,1.243332932923546
9162783,11377509788,40.46,413,,3392,giro-2024,7,2024-05-10,2024-05-04,[],2024,42.0,721,6,0.010104469943483473,1,50.0,113.52959999999999,33.154130054718884,1560.28,1.243332932923546
